3434750	306213
5843419	117613
10568	109687
9316	106832
31717	103351
32927	100195
11867	98326
5042916	94510
14533	74492
4689264	72733
53509	71764
15573	70762
14532	65650
17867	63960
645042	57314
6889	50417
26667	49028
5407	48063
4764461	47926
25391	46107
8210131	43888
128608	42089
9239	39706
3383	39397
38523	39106
410219	38858
19728	38099
57070	37720
273285	37479
23893	36586
26994	36468
18110	36344
170584	36139
21148	36006
5042862	35655
22989	35433
5058739	35098
606848	33864
22936	33127
38493	32900
3966054	32536
4913064	32303
26779	32199
64065	30625
21780446	30449
108956	30348
8569916	28851
21241	28722
56276	28621
26748	28409
6886	27801
17416221	27773
25445	27509
18951490	26334
147575	25968
3916	25717
20518076	25302
9079	25155
66633	24681
18951905	24519
29810	24489
30680	24005
937971	23887
26964606	23806
11846	23530
3343	23521
19773328	23444
18618239	23299
23440	22637
23332	22141
179252	22115
432383	21850
21504235	21795
98066	21760
9282173	21661
863	21549
11125639	21544
38776	21492
21211	21474
22218	21462
18933066	21282
19344654	21009
5043544	21004
49728	20608
12108	20578
32070	20506
3921	20252
21139	20040
23235	19880
76972	19811
25458	19702
50585	19619
24437894	19460
14653	19358
14790	19151
19468510	18972
21555729	18875
10577	18788
232346	18629
25675557	18590
23033	18392
10597	18385
1596317	18308
32087	18149
69894	17701
17730	17647
162707	17645
64646	17605
3354	17555
13275	17503
8087628	17104
27862	16881
14849	16660
528282	16520
13404	16471
32432	16463
14579	16431
22199	16295
21648	16255
24909346	16247
31769	16192
27019	16035
29831	15960
3607937	15809
19038	15709
18426501	15518
31750	15425
47264	15248
55959	15214
173088	15157
6064895	15089
26061	15040
5334607	14969
7954867	14955
30128	14904
26161590	14899
26825	14831
24113	14711
791	14679
6771	14674
18309966	14665
5321	14635
11884	14614
3392	14589
19004	14586
23034	14558
5405	14521
1645518	14508
29265	14342
170691	14304
27318	14282
17306237	14211
21654	14117
7954681	14041
5222	14018
55866	13809
38473	13730
15613	13679
156992	13430
14560	13402
26750	13375
25423	13123
423161	13082
3415	13072
21780	12971
21031297	12967
18836	12918
13530298	12914
18831	12898
53207	12817
22278	12652
5042481	12592
4250553	12587
18717338	12569
3850	12550
689	12492
2154	12488
18859	12442
5489	12417
32908	12257
30057	12196
21650	12146
202354	12106
27338	12092
5573	12061
212182	12032
11887	11936
25405	11912
3138	11901
19590	11842
23634	11835
23070	11815
29773	11805
26787	11789
18337522	11770
5247	11618
7515928	11596
21265	11583
21809	11566
548981	11508
698	11503
18803164	11466
8504	11432
30107	11432
32374	11429
697535	11421
42556	11407
37653	11370
26769	11349
737	11335
198778	11259
156540	11227
5363	11225
6037917	11200
72465	11146
19828134	11135
62027	11121
48830	11081
13692155	11003
32113	10997
188171	10963
649702	10945
21383	10939
25955086	10867
18858	10860
47384	10845
11014498	10828
3410	10824
11388236	10797
9317	10767
53842	10762
31797	10712
28222445	10679
15624	10585
11090	10571
1216	10554
23713433	10549
23844	10506
324	10503
49842	10491
21212	10469
3349146	10463
13828	10406
3463	10351
627	10319
32090	10311
9334	10310
18603746	10273
18956035	10235
26830	10229
26811621	10194
1707053	10161
33127	10135
24320051	10094
19541	10086
24638	10075
4689460	10020
171166	10006
31737	9970
5211	9965
28504	9959
21883857	9958
19058	9918
31756	9910
8687	9897
21554680	9895
52911	9861
644233	9853
32611	9827
6310	9826
88945	9770
32706	9761
59051	9691
803	9623
26997138	9595
19457	9557
13270	9520
746	9509
18130	9506
156702	9446
53849	9425
428681	9400
13015878	9373
31045316	9341
717	9339
35524	9336
36511	9315
18842395	9314
24624	9275
34273	9240
3414021	9240
19006	9216
14539	9133
68736	9121
21883824	9078
5399	9053
27687	9037
20206	9029
13774	8992
4887	8985
25978572	8970
19571	8965
45470	8957
22949	8945
9209651	8938
725252	8893
72487	8881
22093	8852
457055	8812
19279158	8808
19291	8765
25101	8748
41520	8734
76749	8722
26741	8690
21217	8685
9602	8657
844	8657
21184	8655
25715	8607
358	8604
2206131	8595
25814008	8575
44635	8526
19323	8494
90138	8485
16749	8477
521555	8474
19283335	8468
25679	8467
3267529	8447
4443	8443
23041	8429
1607203	8416
19344515	8414
16846	8397
30395	8386
18890	8327
914	8312
14419588	8284
35984	8275
25735	8260
3524766	8245
152735	8245
2403	8227
9257	8225
36164	8225
25353172	8217
19851291	8214
50100	8211
53846	8207
4092	8196
7515849	8195
19568112	8168
3454	8146
18642444	8101
25507	8074
33613	8060
32897	8057
19189	8020
269771	8018
4243	8009
18081	8003
51509	7956
8088	7950
22348	7925
6429	7915
3764	7915
6466	7911
26977	7906
58846	7903
45353	7880
202009	7861
3390	7855
23037	7841
52234	7828
10772350	7827
624	7782
17675	7756
3462	7746
17349325	7734
18842431	7725
351305	7716
14708	7716
18856	7704
18622193	7684
16043	7675
255919	7671
60706	7666
730350	7662
17771	7660
32427	7657
53838	7645
303	7616
187749	7601
30118	7569
5058690	7557
38284	7545
9228	7543
3448729	7541
29812	7530
16972981	7512
31922	7502
20646803	7497
20611504	7497
3708	7489
13882056	7485
100439	7473
29918	7450
1095706	7428
800	7425
293265	7415
27956	7390
775859	7360
31600	7358
4349459	7334
534366	7324
17541	7322
23503	7314
325329	7313
21649	7279
101146	7234
102226	7197
349303	7194
36163	7189
11040	7179
194904	7170
13467	7160
14531	7136
15660	7123
39127	7108
5951	7087
32616	7061
2855554	7024
22309	7016
105219	6995
21786641	6977
69880	6973
16716	6954
31740	6948
18987	6941
6231	6934
5322	6928
18426568	6916
2731583	6907
26810748	6903
31716	6894
13869	6891
22489	6885
18951655	6884
22112840	6876
23996	6870
16772	6852
23922	6846
5166	6842
16083	6839
771	6804
5593	6792
26168	6788
17626	6785
147101	6776
16766	6757
171052	6730
22576	6724
36165	6682
32905	6681
22219	6680
22997	6670
18879	6668
10918072	6658
22018	6642
30503	6637
10272	6626
22939	6622
13450	6618
1214	6598
25431	6592
32558	6588
18964	6588
4699587	6586
3457	6571
151921	6568
9223	6549
19977	6537
1030925	6526
37575	6505
25441	6505
12153654	6485
3356	6479
94154	6455
37754	6453
17514	6447
13964	6440
23315	6429
30353	6427
10623	6421
77745	6420
21216	6383
375986	6379
8089	6371
786545	6358
19001	6343
13677	6331
11237	6290
15368428	6286
4732785	6284
18524	6276
6237	6274
16949861	6263
18522615	6259
20966	6251
1170	6244
18949668	6241
19159283	6238
35502	6223
29697498	6205
192093	6195
7610	6190
50435	6190
738	6179
21133	6179
18839	6177
11525	6161
9252	6150
27643	6141
64313	6135
11127	6128
273319	6117
16880	6111
36787	6103
26840	6072
18967	6070
34551	6059
3391396	6038
8522	6036
20180	6028
18985	6027
37765	6026
25936	6008
27619	6002
55880	6000
6321	5996
19178965	5993
4469209	5988
27009	5979
12067	5959
46252	5937
31843	5936
13652	5936
20913771	5925
38498	5923
2377	5918
26700	5905
48768	5901
471603	5897
6097240	5895
11188	5892
5955	5885
31816	5877
25433	5870
41498	5860
21068988	5859
26795	5847
13058	5841
18926	5840
7954455	5814
76762	5796
47737	5786
5551	5761
21531764	5761
19725260	5759
27698	5757
20556798	5748
1930	5742
186932	5739
17748	5736
167409	5731
188874	5718
26716	5709
19450529	5675
4848143	5674
504309	5658
8683	5650
23814944	5642
58089	5630
5644	5630
26847	5629
159031	5614
34399	5606
170346	5604
22921	5595
10992	5583
74711	5579
34244	5570
32127	5536
19579	5528
28741	5526
22308	5520
25532	5514
48189	5483
28830	5481
5348091	5476
18957	5471
18947	5469
47905	5458
2402376	5458
13673345	5457
12240	5457
53016	5454
8816	5447
17515	5446
27421	5427
5648	5418
22425760	5418
33166	5405
26714	5386
18935732	5386
55284	5371
24355	5371
20913980	5368
18933273	5366
11250	5360
